"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.989555710035756","1.15649135792184","1.04985326906033","0.847555647210306","1.27315966037019","0.921019740615267","1.21988623689494","0.899984266009337","0.816583125573245","0.766078595890291","1.29003093120456","1.00392541384152","0.900815978862313","0.556785091700555","0.755686948914954","0.570047189245275","0.684475621280411","0.567567669832012","0.677357074153782","0.655150727982856","0.695845316369552","0.808178955758899","0.873054037220132","0.685465168087484","0.522423910660968","0.38374622546084","0.69519040368137","0.824106679496003","0.973572162385641","0.879947062384727","0.810211467382748","",
"Azerbaijan","AZE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36043226638141","1.62672231936767","1.24302033366952","1.48215276336796","1.82033845322703","1.48937948313567","1.45280134885444","1.5391077144534","1.3035757081675","1.19239609013322","1.55680025129515","",
"Burundi","BDI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.01251786109602","2.05160098291801","1.52067563228426","2.32393587826355","","","","","",
"Belgium","BEL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58806729057956","1.95291353329902","2.49926099437838","1.77421355663373","2.36818604617696","1.71603061838022","1.62340197808428","1.60393095304008","1.30075765694733","1.37801241128225","1.24778800902531","1.64744489178918","1.36948592579519","1.73980155629693","1.41955353695452","","","","","","","",
"Benin","BEN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17892169156096","2.08814403527663","2.28090081686815","2.09385557850394","2.28795288659875","1.82814762418594","1.95953351895328","2.247430099391","2.39443967357764","2.1275418607636","2.37327543841996","1.52051928687638","1.40389890804743","1.2951834129442","1.43755731747119","1.31768598124021","1.37848747759001","0.977163684688822","0.93239103133067","0.912769726714136","0.708776942383522","0.792422957338325","0.983090053971644","0.9085732167046","0.698832492808073","0.784185413880893","0.59868181150231","0.958770407085697","1.04812522117511","0.63887770852899","0.727410273942709","",
"Bahrain","BHR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.214218541471639","0","0.202465216475809","0.397093277210817","0","0","0.556736042163476","0.18043148385048","0","0","","",
"Bahamas, The","BHS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.38792151471051","3.99927397795477","4.70324853376227","5.18202717177319","4.68679543418793","","","10.7571429609763","3.31982242810268","7.73778434497426","3.72726369148196","1.21973531743612","4.78826874158312","2.93542648811446","4.60569494179553","3.95415440408069","5.55092978073827","7.65324251485549","8.63408737696425","5.33825876675546","","5.76474595812698","8.30771786990114","3.5999712002304","3.05553433656711","1.51276013171098","2.99616490891659","5.44136924637036","",
"Bosnia and Herzegovina","BIH","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71018566028624","","","","","","","","","","1.04735895347893","1.51732841370116","1.30688545671726","","","","","","","0.788998208974066","0.530239281080373","0.858454759970684","1.30738536545507","0.775813676154314","0.619948476645696","1.02973709095839","0.868789602326039","0.585047815957998","0.47182218908982","0.593754063504372","0.298649031242272","",
